city,year,im2_cnt,im3_cnt
"Koeln (Köln, Cologne)",1400,2929.46047008546,100424.732905983
"Koeln (Köln, Cologne)",1500,1242.13675213675,33219.5726495726
"Koeln (Köln, Cologne)",1600,0,0
"Koeln (Köln, Cologne)",1700,0,0
"Koeln (Köln, Cologne)",1800,0,0
"Koeln (Köln, Cologne)",1900,0,0
"Koeln (Köln, Cologne)",2000,0,0
Newcastle-under-Lyme,0,0,0
Newcastle-under-Lyme,100,0,0
Newcastle-under-Lyme,200,0,0
Newcastle-under-Lyme,300,0,0
Newcastle-under-Lyme,400,0,0
Newcastle-under-Lyme,500,0,0
Newcastle-under-Lyme,600,0,0
Newcastle-under-Lyme,700,0,0
Newcastle-under-Lyme,800,0,0
Newcastle-under-Lyme,900,0,0
Newcastle-under-Lyme,1000,0,0
Newcastle-under-Lyme,1100,0,0
Newcastle-under-Lyme,1200,291.5,3206.5
Newcastle-under-Lyme,1300,291.5,3206.5
Newcastle-under-Lyme,1400,0,0
Newcastle-under-Lyme,1500,0,0
Newcastle-under-Lyme,1600,0,0
Newcastle-under-Lyme,1700,0,0
Newcastle-under-Lyme,1800,0,0
Newcastle-under-Lyme,1900,0,0
Newcastle-under-Lyme,2000,0,0
Emden,0,0,0
Emden,100,0,0
Emden,200,0,0
Emden,300,0,0
Emden,400,0,0
Emden,500,0,0
Emden,600,0,0
Emden,700,0,0
Emden,800,0,0
Emden,900,0,0
Emden,1000,500,5000
Emden,1100,0,0
Emden,1200,900,14400
Emden,1300,98,1568
Emden,1400,572,9152
Emden,1500,30,480
Emden,1600,0,0
Emden,1700,0,0
Emden,1800,0,0
Emden,1900,0,0
Emden,2000,0,0
Chartres,0,0,0
Chartres,100,0,0
Chartres,200,0,0
Chartres,300,0,0
Chartres,400,0,0
Chartres,500,0,0
Chartres,600,0,0
Chartres,700,71.0500000000001,766.555999999995
Chartres,800,73.9500000000001,797.843999999994
Chartres,900,3042,43346
Chartres,1000,5953,156093
Chartres,1100,2506.65811965812,79514.8974358973
Chartres,1200,6006.80989380988,198437.627816627
Chartres,1300,1763.92272727273,43706.1803030303
Chartres,1400,307.609259259259,3476.29444444444
Chartres,1500,0,0
Chartres,1600,0,0
Chartres,1700,0,0
Chartres,1800,0,0
Chartres,1900,0,0
Chartres,2000,0,0
Metz,0,0,0
Metz,100,0,0
Metz,200,0,0
Metz,300,0,0
Metz,400,0,0
Metz,500,0,0
Metz,600,0,0
Metz,700,64.1900000000001,715.791999999997
Metz,800,216.809999999999,2588.008
Metz,900,143.63,1791.40299999999
Metz,1000,2685.87,64090.6470000003
Metz,1100,31.5,280.35
Metz,1200,2349.25012094823,76580.7934204161
Metz,1300,5036.28447024675,168026.124818578
Metz,1400,314.465408805031,12893.0817610063
Metz,1500,297,4455
Metz,1600,3,45
Metz,1700,0,0
Metz,1800,0,0
Metz,1900,0,0
Metz,2000,0,0
Norwich,0,0,0
Norwich,100,0,0
Norwich,200,0,0
Norwich,300,0,0
Norwich,400,0,0
Norwich,500,0,0
Norwich,600,0,0
Norwich,700,0,0
Norwich,800,0,0
Norwich,900,0,0
Norwich,1000,0,0
Norwich,1100,4992,141604
Norwich,1200,0,0
Norwich,1300,1240,24380
Norwich,1400,2040.90909090909,41695.4545454545
Norwich,1500,1859.09090909091,41404.5454545454
Norwich,1600,0,0
Norwich,1700,0,0
Norwich,1800,0,0
Norwich,1900,0,0
Norwich,2000,0,0
Pontecorvo,0,0,0
Pontecorvo,100,0,0
Pontecorvo,200,0,0
Pontecorvo,300,0,0
Pontecorvo,400,0,0
Pontecorvo,500,0,0
Pontecorvo,600,0,0
Pontecorvo,700,0,0
Pontecorvo,800,0,0
Pontecorvo,900,0,0
Pontecorvo,1000,500,8500
Pontecorvo,1100,941,18202
Pontecorvo,1200,909,19998
Pontecorvo,1300,450,9900
Pontecorvo,1400,0,0
Pontecorvo,1500,0,0
Pontecorvo,1600,0,0
Pontecorvo,1700,0,0
Pontecorvo,1800,0,0
Pontecorvo,1900,0,0
Pontecorvo,2000,0,0
Pisa,0,0,0
Pisa,100,0,0
Pisa,200,0,0
Pisa,300,0,0
Pisa,400,0,0
Pisa,500,245,4165
Pisa,600,505,8585
Pisa,700,568.5,10301.5
Pisa,800,656.5,12473.5
Pisa,900,985.451127819548,18424.022556391
Pisa,1000,3799.6992481203,68053.984962406
Pisa,1100,7882.33429728169,204524.224407172
Pisa,1200,3599.98018457515,73591.630447356
Pisa,1300,6660.76094865493,150348.87956216
Pisa,1400,579.211469534049,12163.440860215
Pisa,1500,567.74193548387,11922.5806451613
Pisa,1600,349.820788530466,7346.23655913978
Pisa,1700,0,0
Pisa,1800,0,0
Pisa,1900,0,0
Pisa,2000,0,0
Roeselare,0,0,0
Roeselare,100,0,0
Roeselare,200,0,0
Roeselare,300,0,0
Roeselare,400,0,0
Roeselare,500,0,0
Roeselare,600,0,0
Roeselare,700,0,0
Roeselare,800,0,0
Roeselare,900,0,0
Roeselare,1000,0,0
Roeselare,1100,333.2,2998.8
Roeselare,1200,255.739698492462,3795.29547738693
Roeselare,1300,502.959798994975,7544.39698492461
Roeselare,1400,578.600502512563,7720.50753768843
Roeselare,1500,2219.5,41834
Roeselare,1600,0,0
Roeselare,1700,0,0
Roeselare,1800,0,0
Roeselare,1900,0,0
Roeselare,2000,0,0
Arezzo,0,0,0
Arezzo,100,0,0
Arezzo,200,0,0
Arezzo,300,0,0
Arezzo,400,0,0
Arezzo,500,0,0
Arezzo,600,0,0
Arezzo,700,0,0
Arezzo,800,0,0
Arezzo,900,441,7497
Arezzo,1000,459,7803
Arezzo,1100,392,7056
Arezzo,1200,1006.9898989899,17625.8181818182
Arezzo,1300,3937.83491127173,85551.1522117224
Arezzo,1400,2025.40694939502,51009.518876846
Arezzo,1500,2017.4292572925,45871.0700516477
Arezzo,1600,20.3389830508475,386.440677966102
Arezzo,1700,0,0
Arezzo,1800,0,0
Arezzo,1900,0,0
Arezzo,2000,0,0
Bautzen,0,0,0
Bautzen,100,0,0
Bautzen,200,0,0
Bautzen,300,0,0
Bautzen,400,0,0
Bautzen,500,0,0
Bautzen,600,0,0
Bautzen,700,0,0
Bautzen,800,0,0
Bautzen,900,0,0
Bautzen,1000,798,10374
Bautzen,1100,0,0
Bautzen,1200,1500,31500
Bautzen,1300,0,0
Bautzen,1400,363.636363636364,7636.36363636364
Bautzen,1500,236.363636363636,4963.63636363637
Bautzen,1600,0,0
Bautzen,1700,0,0
Bautzen,1800,0,0
Bautzen,1900,0,0
Bautzen,2000,0,0
Aalst (Alost),0,0,0
Aalst (Alost),100,0,0
Aalst (Alost),200,0,0
Aalst (Alost),300,0,0
Aalst (Alost),400,0,0
Aalst (Alost),500,0,0
Aalst (Alost),600,0,0
Aalst (Alost),700,0,0
Aalst (Alost),800,0,0
Aalst (Alost),900,0,0
Aalst (Alost),1000,0,0
Aalst (Alost),1100,834.96,11689.44
Aalst (Alost),1200,17.04,238.56
Aalst (Alost),1300,0,0
