osmid,city,church,period,previous_surface,end_surface,factor,rule_of_thumb,rule_of_thumb_m2,estimated by rule of thumb,period1,period2,,,,
105192350,"Gent (Gand, Ghent)",Sint-Baafskathedraal,800-820,1300,4200,2,1.879,1189.585687,,800,820,,,1189.585687,1300
105192350,"Gent (Gand, Ghent)",Sint-Baafskathedraal,800-820,1300,1700,1,1.879,904.736562,,800,820,,,904.736562,1300
105192350,"Gent (Gand, Ghent)",Sint-Baafskathedraal,985-1067,1700,4200,1,1.879,2235.231506,,985,1067,,,2235.231506,1700
30126781,Nivelles (Nijvel),Coll_giale Sainte Gertrude,700,270,3000,2,1.879,849.7040622,,700,,,,849.7040622,270
30126781,Nivelles (Nijvel),Coll_giale Sainte Gertrude,700,270,1360,1,1.879,723.7892496,,700,,,,723.7892496,270
30126781,Nivelles (Nijvel),Coll_giale Sainte Gertrude,800-1000,1360,3000,1,1.879,1596.593933,,800,1000,,,1596.593933,1360
224608409,Bremen,St. Petri-Dom,805-835,650,3400,1,1.879,1809.473124,,805,835,,,1809.473124,650
19829176,Moenchengladbach (M_nchengladbach),MÙnsterbasilika St. Vitus,780-800,250,1300,2,1.879,368.2050936,325,780,800,,,368.2050936,250
19829176,Moenchengladbach (M_nchengladbach),MÙnsterbasilika St. Vitus,780-800,250,760,1,1.879,404.470463,,780,800,,,404.470463,250
19829176,Moenchengladbach (M_nchengladbach),MÙnsterbasilika St. Vitus,974-998,760,1300,1,1.879,691.8573709,650,974,998,,,691.8573709,760
28562993,Neuss,Quirinus-MÙnster,850-880,527,1600,2,1.879,453.1754999,400,850,880,,,453.1754999,527
28562993,Neuss,Quirinus-MÙnster,850-880,527,792,1,1.879,421.5007983,,850,880,,,421.5007983,527
28562993,Neuss,Quirinus-MÙnster,1000-1040,792,1600,1,1.879,851.5167642,800,1000,1040,,,851.5167642,792
50284360,Trier,Dom St. Peter zu Trier,ca 700,1600,3400,2,1.879,962.9979372,850, ca 700,,,,962.9979372,1600
50284360,Trier,Dom St. Peter zu Trier,ca 700,1600,2400,1,1.879,1277.275146,, ca 700,,,,1277.275146,1600
50284360,Trier,Dom St. Peter zu Trier,920-950,2400,3400,1,1.879,1809.473124,1700,920,950,,,1809.473124,2400
26498173,Werden (now part of Essen),Basilika St. Ludgerus,840-875,1000,1900,1,1.879,1011.176158,950,840,875,,,1011.176158,1000
24707942,Aschaffenburg,Stiftsbasilika St. Peter und Alexander,800-880,150,1000,2,1.879,283.2346874,325,800,880,,,283.2346874,150
24707942,Aschaffenburg,Stiftsbasilika St. Peter und Alexander,800-880,150,900,1,1.879,478.9781799,,800,880,,,478.9781799,150
24707942,Aschaffenburg,Stiftsbasilika St. Peter und Alexander,940-960,900,1000,1,1.879,532.1979776,650,940,960,,,532.1979776,900
122385636,Bamberg,Bamberger Dom,950-973,260,3200,2,1.879,906.3509997,,950,973,,,906.3509997,260
122385636,Bamberg,Bamberger Dom,950-973,260,1800,1,1.879,957.9563598,,950,973,,,957.9563598,260
122385636,Bamberg,Bamberger Dom,1004-1012,1800,3200,1,1.879,1703.033528,1600,1004,1012,,,1703.033528,1800
92294792,Reims,Cath_drale Notre-Dame,before 700,1100,6900,3,1.879,1040.084802,, < 700,,,,1040.084802,1100
37143323,Bamberg,Sankt Martin,900-950,100,1600,2,1.879,453.1754999,,900,950,,,453.1754999,100
362942071,Hamburg,Domkirche Sankt Marien,811-820,256,1200,3,1.879,180.8843134,,811,820,,,180.8843134,256
112526702,Bonn,Bonner MÙnster,700,125,1600,3,1.879,241.1790845,,700,,,,241.1790845,125
112526702,Bonn,Bonner MÙnster,780-800,340,1600,2,1.879,453.1754999,,780,800,,,453.1754999,340
112526702,Bonn,Bonner MÙnster,700,125,340,1,1.879,180.9473124,,700,,,,180.9473124,125
34239929,Dortmund,St. Reinoldi-Kirche,925-950,600,1700,3,1.879,256.2527773,,925,950,,,256.2527773,600
34239929,Dortmund,St. Reinoldi-Kirche,925-950,600,1300,2,1.879,368.2050936,,925,950,,,368.2050936,600
34239929,Dortmund,St. Reinoldi-Kirche,925-950,600,900,1,1.879,478.9781799,,925,950,,,478.9781799,600
34239929,Dortmund,St. Reinoldi-Kirche,1060-1065,600,1700,2,1.879,481.4989686,,1060,1065,,,481.4989686,600
34239929,Dortmund,St. Reinoldi-Kirche,1060-1065,900,1300,1,1.879,691.8573709,,1060,1065,,,691.8573709,900
34239929,Dortmund,St. Reinoldi-Kirche,1115-1120,1300,1700,1,1.879,904.736562,,1115,1120,,,904.736562,1300
91328768,Elberfeld (part of Wuppertal),Basilika St. Laurentius,950-975,100,1800,2,1.879,509.8224373,450,950,975,,,509.8224373,100
91328768,Elberfeld (part of Wuppertal),Basilika St. Laurentius,950-975,100,600,1,1.879,319.3187866,450,950,975,,,319.3187866,100
91328768,Elberfeld (part of Wuppertal),Basilika St. Laurentius,1100-1200,600,1800,1,1.879,957.9563598,900,1100,1200,,,957.9563598,600
11018815,Frankfurt am Main,Kaiserdom,800-820,750,2300,2,1.879,651.439781,575,800,820,,,651.439781,750
90756726,Fulda,Fuldaer Dom,720-780,800,4400,2,1.879,1246.232625,1100,720,780,,,1246.232625,800
90756726,Fulda,Fuldaer Dom,720-780,800,3200,1,1.879,1703.033528,,720,780,,,1703.033528,800
