1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,Department,Latitude,Longitude,Monument,Priority,Region,id,name
,,,,,,,,,,,,,,,,,,,,Aisne,49.293,3.6403,Saint-Waast,4,Soissonais,Synopsis.php?id=VILLE-SV,Ville-Savoye 
,,,,50.0,,,,,,,,24.0,,,,,,,,Oise,49.237,2.6939,Saint-Georges,4,Senlisis,Synopsis.php?id=BRAY,Bray 
,,,,,,,,,,,,,,,,,,,,Essonne,48.520,2.2981,Saint-Pierre-ès-Liens,4,Parisis,Synopsis.php?id=BOURAY-J,Bouray-sur-Juine 
,,,,,,,,,,,,,,,,,,,,Seine-et-Marne,48.730,3.3408,Saint-Colombe,4,Brie,Synopsis.php?id=VIEUX-M,Vieux-Maisons 
,,,,,,,,,,,,,,,,,,,,Aisne,49.047,3.5104,Notre-Dame,4,Marne,Synopsis.php?id=CREZANCY,Crezancy 
,,,,,,,,,,,,,,,,,,,,Oise,49.479,2.2943,Saint-Martin,4,Beauvaisis,Synopsis.php?id=ESSUILES,Essuiles 
,,,30.0,,,150.0,18.0,,,34.0,,,,46.0,,,,,,Yvelines,48.955,1.8142,Saint-Béal,3,Meulanois,Synopsis.php?id=EPONE,Epone 
,,,,,,10.0,25.0,,,,,,,,,,,,,Aisne,49.401,3.2279,Saint-Martin,3,Soissonais,Synopsis.php?id=OSLY-C,Osly-Courtil 
,,,,,,,,,,37.0,,,,,,,,,,Aisne,49.091,3.2579,Saints-Crépin-et-Crépinien,2,Soissonais,Synopsis.php?id=BUSSIARE,Bussiares 
,,,,,52.0,,,,,,,,,,,,,,,Oise,49.447,2.4260,Saint-Lucien,2,Beauvaisis,Synopsis.php?id=AVRECHY,Avrechy 
,,,,,,,,,,,,,,,,,,,,Marne,48.555,4.5241,Saint-Christophe,4,Châlonais,Synopsis.php?id=MARGERIE,Margerie-Hancourt 
,,,,,,,,,,,,,,,,,,,,Yvelines,48.703,1.6176,Sainte-Madeleine,4,Perche,Synopsis.php?id=HAUTEV-L,"Hauteville, La "
,,,,,,25.0,36.0,,,,,,,,,,,,,Aisne,49.472,3.6115,La Trinité,3,Laonnois,Synopsis.php?id=TRUCY,Trucy 
,,,,,,,,,,56.0,,,,,,,,,,Oise,49.290,2.6896,Saint-Remi,3,Senlisis,Synopsis.php?id=ROBERVAL,Roberval 
,,,,,,,,,,80.0,85.0,28.0,,,,,,30.0,,Aisne,49.410,3.5176,Notre-Dame-de-l'Assomption,1,Soissonais,Synopsis.php?id=VAILLY-A,Vailly-sur-Aisne 
,,,,,,,,,,,,,,,,,,,,Val-d'Oise,49.056,2.5425,Saint-Germain,4,Senlisis,Synopsis.php?id=VILLERON,Villeron 
,,,,,,,,,,57.0,,,,,,,,,,Aisne,49.523,3.5395,Saints-Julien-et-Jean-Baptiste,3,Laonnois,Synopsis.php?id=ROYAUCOU,Royaucourt-et-Chailvet 
,,103.0,,,,,,,,50.0,,40.0,76.0,,,,,,,Aisne,48.987,3.6140,Saint-Barthélémy,3,Marne,Synopsis.php?id=BAULNE-B,Baulne-en-Brie 
,,,,,,,,,,,,,,,,,,,,Loiret,48.254,2.2715,Saint-Martin,4,Gâtinais,Synopsis.php?id=DOSSAINV,Dossainville 
,,,,,,,,,,,,,,60.0,50.0,80.0,30.0,22.0,,Yvelines,48.982,2.0027,Saint-Martin,2,Meulanois,Synopsis.php?id=TRIEL-S,Triel-sur-Seine 
,,,,,,,,,,,,,,,,,,,,Marne,49.109,4.7483,La Nativité,4,Outliers,Synopsis.php?id=HANS,Hans 
,,,,,,,,,,,,,,,,,,,,Marne,48.579,4.4980,Saint-Eusèbe,4,Châlonais,Synopsis.php?id=CHAPELAI,Chapelaine 
,32.0,,,,,,,,,,,140.0,200.0,80.0,,,50.0,80.0,,Eure-et-Loir,48.525,1.6881,Saint-Pierre,1,Perche,Synopsis.php?id=GALLARDO,Gallardon 
,,,,,,,,,,,,,,,,,,,,Sarthe,48.002,0.2002,Notre-Dame-de-Couture,2,Outliers,Synopsis.php?id=MANS-N,"Mans, Le "
,,,,,,,,,,14.0,,,16.0,,,,,,,Oise,49.421,2.1449,Saint-Ouen,3,Beauvaisis,Synopsis.php?id=THERDONN,Therdonne 
,,,,,,,,,40.0,40.0,22.0,,,,,,,,,Oise,49.129,3.0051,Saint-Étienne,2,Soissonais,Synopsis.php?id=BOULLARR,Boullarre 
,,,,,,,,,,,,,,,,,,,,Marne,49.052,3.7441,Saint-Laurent,4,Marne,Synopsis.php?id=FESTIGNY,Festigny 
,,,,,,,41.0,12.0,,20.0,,,22.0,,,29.0,,,,Aisne,49.299,3.5383,Saints-Pierre-et-Paul,2,Soissonais,Synopsis.php?id=JOUAIGNE,Jouaignes 
,,,,,,,,,,,28.0,,,,,,,,,Aisne,49.358,3.6531,Saint-Pierre,3,Soissonais,Synopsis.php?id=BARBONVA,Barbonval 
,,,,,,,,,,,,,,,,,,,,Oise,49.242,2.8010,Notre-Dame-de-l'Assomption,4,Senlisis,Synopsis.php?id=TRUMILLY,Trumilly 
,,,,,,,,,,,,,,,,,,,,Marne,49.282,3.7692,Saints-Rufin-et-Valère,4,Soissonais,Synopsis.php?id=HOURGES,Hourges 
,,,,,,,,,,,,,,,,,,,,Somme,49.854,2.9295,La Nativité,4,Outliers,Synopsis.php?id=BRIOST,Briost 
,,,,,,,,,,,,,,,,,,,,Seine-et-Marne,48.627,3.0204,Saint-Étienne,4,Provinois,Synopsis.php?id=GASTINS,Gastins 
,,,,,,54.0,,,36.0,80.0,,,,,,,,,,Val-d'Oise,49.127,2.2068,Saint-Denis,2,Vexin,Synopsis.php?id=JOUY-C,Jouy-le-Comte 
,,,,,,,,,,,,,,,50.0,,,,,Seine-et-Marne,48.647,3.2054,Notre-Dame,3,Provinois,Synopsis.php?id=JOUY-A,Jouy-lAbbaye 
,,,,,,,,,,,,,,,41.0,16.0,,,,Seine-et-Marne,48.420,3.0215,Saint-Apollinaire,3,Provinois,Synopsis.php?id=SALINS,Salins 
,,,,,,,,,,,,,,,20.0,,,,,Yvelines,48.763,2.1681,Saint-Martin,3,Parisis,Synopsis.php?id=JOUY-J,Jouy-en-Josas 
,,,,,,,,,58.0,30.0,,,,,,45.0,,,,Aisne,49.104,3.4460,Saint-Médard,2,Soissonais,Synopsis.php?id=EPIEDS,Epieds 
,,,,,,58.0,,20.0,,,,,,,,,,,,Loiret,48.173,2.2553,Saint-Salomon-et-Grégoire,2,Gâtinais,Synopsis.php?id=PITHIV-S,Pithiviers 
,,,,,,,,,,,,,,,,,,,,Loiret,48.142,2.1126,Saint-André,4,Gâtinais,Synopsis.php?id=JOUY-P,Jouy-en-Pithiverais 
,,,,,,,,,,,,,,,,,,,,Val-d'Oise,48.987,2.3438,Saint-Martin,4,Parisis,Synopsis.php?id=GROSLAY,Groslay 
,,,,,,,,,,,,,,,,,,,,Yonne,48.305,3.0501,Saint-Agnan,4,Yonne,Synopsis.php?id=S-AGNN-Y,Saint-Agnan 
,30.0,,,20.0,22.0,,,,20.0,28.0,,45.0,,,,,,,,Aisne,49.502,3.6106,Saint-Martin,1,Laonnois,Synopsis.php?id=NOUVION,Nouvion-le-Vineux 
,,,,,,,,,,,,,,,,48.0,183.0,,,Marne,49.253,4.0349,Bishop's Chapel,2,Reimois,Synopsis.php?id=REIMS-EV,Reims 
,,,,,,,12.0,16.0,66.0,15.0,,,46.0,,26.0,,24.0,,,Oise,49.340,2.4976,Saints-Côme-et-Damien,3,Therain,Synopsis.php?id=ROSOY,Rosoy 
,,,,,,,,,,,,,,,,,,,,Aisne,49.447,3.4277,Notre-Dame-de-l'Assomption,4,Soissonais,Synopsis.php?id=LAFFAUX,Laffaux 
,,,,,,,,,,22.0,,,32.0,,,,,,,Marne,48.802,4.5020,Saint-Maurice,3,Châlonais,Synopsis.php?id=SONGY,Songy 
,,,,,,,,,30.0,30.0,,,,,,,21.0,,,Aisne,49.020,3.5950,Saint-Agnan,2,Marne,Synopsis.php?id=S-AGNN-A,Saint-Agnan 
,,,,,,22.0,95.0,40.0,40.0,22.0,,30.0,,,,,,,,Marne,48.906,4.0013,Saint-Martin,2,Châlonais,Synopsis.php?id=VERTUS,Vertus 
,,,,,,,39.0,,,,16.0,,,,,,,,,Oise,49.255,2.4008,Saint-Martin,3,Therain,Synopsis.php?id=CRAMOISY,Cramoisy 
,,,,30.0,10.0,30.0,,,,,,,,45.0,36.0,54.0,48.0,23.0,,Oise,49.313,2.3440,Saint-Lucien,1,Therain,Synopsis.php?id=BURY,Bury 
,,,,,,,,20.0,80.0,85.0,,77.0,220.0,160.0,82.0,,,,,Somme,49.749,3.0720,Notre-Dame-de-l'Assomption,2,Noyonnais,Synopsis.php?id=HAM,Ham 
,,,,,,,,,,,,,,,,,,,,Aisne,49.425,3.3050,Saint-Marcel,4,Soissonais,Synopsis.php?id=CHAVIGNY,Chavigny 
,,,,,,,,,,,,,,40.0,,,,,,Essonne,48.433,2.4574,Saint-Denis,2,Gâtinais,Synopsis.php?id=MOIGNY-E,Moigny-sur-Ecole 
,,,,,,,,21.0,,16.0,28.0,127.0,,24.0,,,,,,Aisne,49.339,3.4904,Saint-Lubin,2,Soissonais,Synopsis.php?id=COUVRELL,Couvrelles 
,,,,,,,,,,,,,,,,,,,,Aisne,49.111,3.1033,Saint-Martin,4,Soissonais,Synopsis.php?id=MONTI-AL,Montigny-lAllier 
,,,,,,,,,,,,,,,,,,,,Marne,48.912,4.5265,Saint-Nicolas,4,Châlonais,Synopsis.php?id=MARSON,Marson 
,,,,,,,,,,,,,,,,,,,,Aisne,49.479,3.5220,Saint-Remi,4,Laonnois,Synopsis.php?id=CHAVIGNO,Chavignon 
,,,,,,,,,,,,,,,,,,,,Marne,48.807,4.6086,Saint-Amand,4,Outliers,Synopsis.php?id=S-AMND-F,Saint-Amand-sur-Fion 
,,,,,,,,,,,,,,,,,,,,Seine-et-Marne,48.496,2.5483,Saint-Eutrope,4,Parisis,Synopsis.php?id=S-SAUV-E,Saint-Sauveur-sur-Ecole 
,,,,,,,,,,,,24.0,,,,,,,,Seine-et-Marne,48.415,3.2369,Sainte-Croix,4,Yonne,Synopsis.php?id=BRAY-S,Bray-sur-Seine 
,,,,,,,,,,,,,,,,,,,,Essonne,48.645,2.4514,Notre-Dame-de-l'Assomption,4,Parisis,Synopsis.php?id=SOISY-S,Soisy-sur-Seine 
,,,,,,,,,,22.0,,,,,,,,,,Aisne,49.649,3.3078,Saint-Remi,3,Laonnois,Synopsis.php?id=FONTENOY,Fontenoy 
,,,,,,,,,,,,,,,,,,,,Eure-et-Loir,48.208,1.2858,Saint-Pierre,4,Perche,Synopsis.php?id=DANGEAU,Dangeau 
