osmid,city,church,ground_surface_m2,nave_height,ctr,start,finish,,remarks,,height,sqrt surface
,Wasdale,Church of St Olaf,62,4,United Kingdom,900,1000,,height estimated from photo,,4,8
,Culbone,"St Beuno, Culbone parish church",50,5,United Kingdom,1000,1500,,height estimated from photo,,5,7
40650689,Beverley,Beverley Minster,2635.799589,20,United Kingdom,1220,1400,,,,20,51
48937931,Bristol,Bristol Cathedral,3196.600977,16,United Kingdom,1216,1450,,,,16,57
28021345,Canterbury,Canterbury Cathedral,6402.355287,27,United Kingdom,1070,1420,,,,27,80
87134587,Carlisle,Carlisle Cathedral,2144.501447,22,United Kingdom,1122,1300,,,,22,46
28230540,Exeter,Exeter Cathedral,3810.278425,21,United Kingdom,1133,1380,,,,21,62
364313092,London,Westminster Abbey,5768.827227,31,United Kingdom,1245,1517,,,,31,76
4099626,St Albans,St Albans Cathedral,4956.694654,20,United Kingdom,1077,1400,,,,20,70
28750371,York,York Minster,7000,30,United Kingdom,1220,1472,,,,30,84
,Glasgow,St Mungo's Cathedral,2200,32,United Kingdom,1124,1450,,,,32,46.9041576
149498084,Salisbury,Salisbury Cathedral,5000,26,United Kingdom,1120,1258,,,,26,70.71067812
242966968,Lincoln,Lincoln Cathedral,6000,25,United Kingdom,1192,1330,,,,25,77.45966692
