ctr,year,pop,decade,broadberry,bd,pop_spl
nl,1000,300,1000,,pre,300
de,1000,3500,1000,,pre,3500
ch,1000,300,1000,,pre,300
it,1000,5000,1000,,pre,5000
uk,,,1020,,pre,1776.03397005361
fr,,,1020,,pre,6680.39615975748
be,,,1020,,pre,425.127799375291
nl,,,1020,,pre,313.538558371503
de,,,1020,,pre,3540.34980523235
ch,,,1020,,pre,312.620742955798
it,,,1020,,pre,5114.49046519679
uk,,,1040,,pre,1851.36127712301
fr,,,1040,,pre,6888.07942610908
be,,,1040,,pre,458.619410934264
nl,,,1040,,pre,329.894429474906
de,,,1040,,pre,3598.40400935627
ch,,,1040,,pre,330.688003400721
it,,,1040,,pre,5242.72147164889
uk,,,1060,,pre,1928.44362436257
fr,,,1060,,pre,7129.98274715422
be,,,1060,,pre,499.76372374564
nl,,,1060,,pre,349.436309258064
de,,,1060,,pre,3685.39293323338
ch,,,1060,,pre,352.666895443173
it,,,1060,,pre,5388.46166683115
uk,,,1080,,pre,2010.18897113259
fr,,,1080,,pre,7414.13606860516
be,,,1080,,pre,547.472551476619
nl,,,1080,,pre,372.618831389476
de,,,1080,,pre,3814.1021273949
ch,,,1080,,pre,376.615376624493
it,,,1080,,pre,5555.94535067428
uk,1100,2100,1100,,pre,2100
fr,1100,7750,1100,,pre,7750
be,1100,600,1100,,pre,600
nl,1100,400,1100,,pre,400
de,1100,4000,1100,,pre,4000
ch,1100,400,1100,,pre,400
it,1100,5750,1100,,pre,5750
uk,,,1120,,pre,2202.22449506358
fr,,,1120,,pre,8147.64274017552
be,,,1120,,pre,655.266459135187
nl,,,1120,,pre,432.094661744128
de,,,1120,,pre,4258.52688547687
ch,,,1120,,pre,420.468796667537
it,,,1120,,pre,5975.52567798591
uk,,,1140,,pre,2323.52650770375
fr,,,1140,,pre,8613.94849567633
be,,,1140,,pre,712.805652128219
nl,,,1140,,pre,468.780142827921
de,,,1140,,pre,4591.50796115984
ch,,,1140,,pre,438.702035873899
it,,,1140,,pre,6235.40925507638
uk,,,1160,,pre,2472.46639309338
fr,,,1160,,pre,9155.79764817427
be,,,1160,,pre,772.680785931632
nl,,,1160,,pre,509.57625674452
de,,,1160,,pre,4996.44043983804
ch,,,1160,,pre,456.519821359881
it,,,1160,,pre,6532.30854014177
uk,,,1180,,pre,2659.88500424458
fr,,,1180,,pre,9781.3168445589
be,,,1180,,pre,835.014748987248
nl,,,1180,,pre,553.703294004678
de,,,1180,,pre,5468.75404286879
ch,,,1180,,pre,476.097336918004
it,,,1180,,pre,6869.31769029223
uk,1200,2900,1200,,pre,2900
fr,1200,10500,1200,,pre,10500
be,1200,900,1200,,pre,900
nl,1200,600,1200,,pre,600
de,1200,6000,1200,,pre,6000
ch,1200,500,1200,,pre,500
it,1200,7250,1200,,pre,7250
uk,,,1220,,pre,3207.05513003895
fr,,,1220,,pre,11323.199614829
be,,,1220,,pre,967.739269744306
nl,,,1220,,pre,646.909858176342
de,,,1220,,pre,6577.37431672395
ch,,,1220,,pre,531.13639072353
it,,,1220,,pre,7678.60247311454
uk,,,1240,,pre,3577.90935542786
fr,,,1240,,pre,12265.5722034244
be,,,1240,,pre,1037.6489060406
nl,,,1240,,pre,692.631665908234
de,,,1240,,pre,7187.15700867536
ch,,,1240,,pre,572.340098130843
it,,,1240,,pre,8160.71698319904
uk,,,1260,,pre,3998.76198474985
fr,,,1260,,pre,13344.7241044053
be,,,1260,,pre,1108.79516452121
nl,,,1260,,pre,735.035865282547
de,,,1260,,pre,7811.24354429381
ch,,,1260,,pre,627.18586298418
it,,,1260,,pre,8702.99149730536
uk,,4445.840943,1280,4445840.943,pre,4445.840943
fr,,,1280,,pre,14581.3881976359
be,,,1280,,pre,1180.03162553239
nl,,,1280,,pre,771.691811678499
de,,,1280,,pre,8425.52366172039
ch,,,1280,,pre,700.671138200167
it,,,1280,,pre,9313.11719997456
uk,1300,4716.198666,1300,4716198.666,pre,4716.198666
fr,1300,16000,1300,,pre,16000
be,1300,1250,1300,,pre,1250
nl,1300,800,1300,,pre,800
de,1300,9000,1300,,pre,9000
ch,1300,800,1300,,pre,800
it,1300,10000,1300,,pre,10000
uk,,4383.391019,1320,4383391.019,pre,4383.391019
fr,,,1320,,pre,17629.3898324893
be,,,1320,,pre,1317.14331457527
nl,,,1320,,pre,817.388221088234
de,,,1320,,pre,9499.75062328107
ch,,,1320,,pre,935.848277796328
it,,,1320,,pre,10773.9637585121
uk,,4548.650542,1340,4548650.542,pre,4548.650542
fr,,,1340,,pre,19503.6151521782
be,,,1340,,pre,1379.73383111012
nl,,,1340,,pre,821.562515262966
de,,,1340,,pre,9886.9239652697
ch,,,1340,,pre,1124.45612271563
it,,,1340,,pre,11646.9914162259
uk,,2561.570153,1360,2561570.153,post,2561.570153
fr,,,1360,,post,9323.6341745382
be,,,1360,,post,591.9193685656
nl,,,1360,,post,567.894463676879
de,,,1360,,post,5922.82272052786
ch,,,1360,,post,518.058603324492
it,,,1360,,post,5716.77270932674
uk,,2435.827701,1380,2435827.701,post,2435.827701
fr,,,1380,,post,10162.2959260889
be,,,1380,,post,695.508761729642
nl,,,1380,,post,577.75391399107
de,,,1380,,post,6179.84234106888
ch,,,1380,,post,559.081073699411
it,,,1380,,post,6356.69043018144
uk,1400,2077.927128,1400,2077927.128,post,2077.927128
fr,1400,11000,1400,,post,11000
be,1400,800,1400,,post,800
nl,1400,600,1400,,post,600
de,1400,6500,1400,,post,6500
ch,1400,600,1400,,post,600
it,1400,7000,1400,,post,7000
uk,,2035.712304,1420,2035712.304,post,2035.712304
fr,,,1420,,post,11830.6900627668
be,,,1420,,post,902.493183379441
nl,,,1420,,post,634.382738113247
de,,,1420,,post,6882.50169696751
ch,,,1420,,post,640.667214037059
it,,,1420,,post,7638.3978071785
uk,,1956.587788,1440,1956587.788,post,1956.587788
fr,,,1440,,post,12649.2950146852
be,,,1440,,post,1000.42300524181
nl,,,1440,,post,681.085879405062
de,,,1440,,post,7326.32225164631
ch,,,1440,,post,680.993188791598
it,,,1440,,post,8264.07352406256
uk,,1956.284243,1460,1956284.243,post,1956.284243
fr,,,1460,,post,13451.9030200117
be,,,1460,,post,1091.76317268901
nl,,,1460,,post,740.5620760793
de,,,1460,,post,7829.6461950482
ch,,,1460,,post,720.951891698603
it,,,1460,,post,8870.01086442278
uk,,2074.04134,1480,2074041.34,post,2074.04134
fr,,,1480,,post,14235.8893556248
be,,,1480,,post,1175.16128855284
nl,,,1480,,post,813.371203408686
de,,,1480,,post,8389.27437161916
ch,,,1480,,post,760.584169703183
it,,,1480,,post,9450.23532997591
uk,1500,2198.886738,1500,2198886.738,post,2198.886738
fr,1500,15000,1500,,post,15000
be,1500,1250,1500,,post,1250
nl,1500,900,1500,,post,900
de,1500,9000,1500,,post,9000
ch,1500,800,1500,,post,800
it,1500,10000,1500,,post,10000
uk,,2331.247114,1520,2331247.114,post,2331.247114
fr,,,1520,,post,15743.8679833954
be,,,1520,,post,1316.24164293348
nl,,,1520,,post,1000.53049093161
de,,,1520,,post,9651.30290261253
ch,,,1520,,post,839.361824359827
it,,,1520,,post,10514.365377195
uk,,2813.896392,1540,2813896.392,post,2813.896392
fr,,,1540,,post,16466.2476162596
be,,,1540,,post,1373.86881827508
nl,,,1540,,post,1113.92552575772
de,,,1540,,post,10317.2330507576
ch,,,1540,,post,878.824391437758
it,,,1540,,post,10983.0784181856
uk,,3008.69286,1560,3008692.86,post,3008.69286
fr,,,1560,,post,17166.2645530323
be,,,1560,,post,1423.18128625508
nl,,,1560,,post,1237.86404711005
de,,,1560,,post,10961.3158165732
ch,,,1560,,post,918.578718877674
it,,,1560,,post,11394.4061654112
uk,,3594.288647,1580,3594288.647,post,3594.288647
fr,,,1580,,post,17843.9029231024
be,,,1580,,post,1464.87912900652
nl,,,1580,,post,1368.46490711225
de,,,1580,,post,11539.1174414883
ch,,,1580,,post,958.870087282552
it,,,1580,,post,11736.9306287082
uk,1600,4105.98473,1600,4105984.73,post,4105.98473
fr,1600,18500,1600,,post,18500
be,1600,1500,1600,,post,1500
nl,1600,1500,1600,,post,1500
de,1600,12000,1600,,post,12000
ch,1600,1000,1600,,post,1000
it,1600,12000,1600,,post,12000
uk,,4678.541799,1620,4678541.799,post,4678.541799
fr,,,1620,,post,19139.4378220834
be,,,1620,,post,1530.72862909545
nl,,,1620,,post,1625.74879717724
de,,,1620,,post,12307.7346159135
ch,,,1620,,post,1042.44195010262
it,,,1620,,post,12183.1223240881
uk,,5198.005034,1640,5198005.034,post,5198.00503400001
fr,,,1640,,post,19781.5897902004
be,,,1640,,post,1563.09491334195
nl,,,1640,,post,1741.59405099075
de,,,1640,,post,12498.4860560708
ch,,,1640,,post,1087.22285249726
it,,,1640,,post,12323.8380133752
uk,,5234.41406,1660,5234414.06,post,5234.41406
fr,,,1660,,post,20452.178619576
be,,,1660,,post,1604.58859420407
nl,,,1660,,post,1844.39189994665
de,,,1660,,post,12633.2319158006
ch,,,1660,,post,1135.66522083694
it,,,1660,,post,12471.5631183674
uk,,5155.602011,1680,5155602.011,post,5155.602011
fr,,,1680,,post,21180.4965958487
be,,,1680,,post,1663.58219980156
nl,,,1680,,post,1931.31776838571
de,,,1680,,post,12777.4638843974
ch,,,1680,,post,1189.316351381
it,,,1680,,post,12678.294672369
uk,1700,5184.5592,1700,5184559.2,post,5184.5592
fr,1700,22000,1700,,post,22000
be,1700,1750,1700,,post,1750
nl,1700,2000,1700,,post,2000
de,1700,13000,1700,,post,13000
ch,1700,1250,1700,,post,1250
it,1700,13000,1700,,post,13000
uk,,,1720,,post,5381.2688537597
fr,,,1720,,post,22948.6132720971
be,,,1720,,post,1876.31781557563
nl,,,1720,,post,2048.38934470673
de,,,1720,,post,13371.6705027991
ch,,,1720,,post,1319.86352448307
it,,,1720,,post,13498.4003752695
uk,,,1740,,post,5822.05174889789
fr,,,1740,,post,24067.80206837
be,,,1740,,post,2058.78998214424
nl,,,1740,,post,2074.09189335369
de,,,1740,,post,13959.3690592813
ch,,,1740,,post,1401.38541519211
it,,,1740,,post,14240.8879330527
uk,,,1760,,post,6634.81399551489
fr,,,1760,,post,25406.6300379393
be,,,1760,,post,2320.96207994624
nl,,,1760,,post,2075.16304043889
de,,,1760,,post,14844.2298524291
ch,,,1760,,post,1497.57801642389
it,,,1760,,post,15314.519680738
uk,,,1780,,post,8047.9554598751
fr,,,1780,,post,27025.4401278105
be,,,1780,,post,2698.90415492812
nl,,,1780,,post,2050.50563748227
de,,,1780,,post,16137.4629901385
ch,,,1780,,post,1612.19793291979
it,,,1780,,post,16841.352974919
uk,1800,10500,1800,,post,10500
fr,1800,29000,1800,,post,29000
be,1800,3250,1800,,post,3250
nl,1800,2000,1800,,post,2000
de,1800,18000,1800,,post,18000
ch,1800,1750,1800,,post,1750
it,1800,19000,1800,,post,19000
uk,,,1820,,post,14889.5906527603
fr,,,1820,,post,31427.306561909
be,,,1820,,post,4068.82307707509
nl,,,1820,,post,1924.57605498983
de,,,1820,,post,20674.8971331103
ch,,,1820,,post,1917.08896140983
it,,,1820,,post,22061.1926257807
uk,,,1840,,post,23190.4268835107
fr,,,1840,,post,34433.7798620434
be,,,1840,,post,5316.88002819413
nl,,,1840,,post,1826.21533475985
de,,,1840,,post,24542.6676103949
ch,,,1840,,post,2121.41071309431
it,,,1840,,post,26448.3676718328
uk,,,1860,,post,40087.5998960882
fr,,,1860,,post,38186.9558497978
be,,,1860,,post,7280.48965892734
nl,,,1860,,post,1707.87659607073
de,,,1860,,post,30219.1106673855
ch,,,1860,,post,2373.44551450838
it,,,1860,,post,32844.2235989614
uk,,,1880,,post,77719.4101607737
fr,,,1880,,post,42912.3812175001
be,,,1880,,post,10488.0090949446
nl,,,1880,,post,1573.34641265597
de,,,1880,,post,38734.4191105827
ch,,,1880,,post,2687.1971903473
it,,,1880,,post,42384.3087239056
uk,,,1900,,post,170769.326982509
fr,,,1900,,post,48918.3562320811
be,,,1900,,post,15957.5907361255
nl,,,1900,,post,1427.02426066498
de,,,1900,,post,51873.0542507226
ch,,,1900,,post,3081.62162435659
it,,,1900,,post,57020.7499046867
uk,,,1920,,post,429728.313863229
fr,,,1920,,post,56632.6903307056
be,,,1920,,post,25745.2109644886
nl,,,1920,,post,1273.65928034665
de,,,1920,,post,72843.3559085793
ch,,,1920,,post,3582.71563734588
it,,,1920,,post,80230.2599184944
uk,,,1940,,post,1251481.99248196
fr,,,1940,,post,66658.1197315502
be,,,1940,,post,44217.4319660525
nl,,,1940,,post,1118.06189882199
de,,,1940,,post,107650.332232711
ch,,,1940,,post,4226.611786547
it,,,1940,,post,118444.982000563
uk,,,1960,,post,4262305.50616683
fr,,,1960,,post,79857.1641910466
be,,,1960,,post,81165.5190751031
nl,,,1960,,post,964.816844982449
de,,,1960,,post,168032.022878203
ch,,,1960,,post,5064.22646804814
it,,,1960,,post,184061.969260163
uk,,,1980,,post,17155235.3830585
fr,,,1980,,post,97484.1700860699
be,,,1980,,post,159861.425466885
