osmid,city,osmname,surface,osmwikipedia,osmlink,category,mendicants,lat,lon,,,,,,,,,,,,,,,
216723333,Amalfi,Cattedrale di San Lorenzo,1190.793992,https://it.wikipedia.org/wiki/Duomo_di_Amalfi,http://www.openstreetmap.org/way/216723333,cathedral,,40.65351097,14.60820539,x,x,x,x,x,x,x,x,x,x,x,x,x,,
216723333,Amalfi,Cattedrale di San Lorenzo,year,,,cathedral,,,,950,1000,1040,1060,1200,1225,,,,,,,,,
216723333,Amalfi,Cattedrale di San Lorenzo,surface,,,cathedral,,,,0,600,0,600,0,1200,,,,,,,,,
216723333,Amalfi,Cattedrale di San Lorenzo,height,,,cathedral,,,,14,14,14,14,19,19,,,,,,,,,
216723333,Amalfi,Cattedrale di San Lorenzo,m3,,,cathedral,,,,,,,,,,,,,,,,,,
216723333,Amalfi,Cattedrale di San Lorenzo,guestimate,,,cathedral,,,,1,1,1,1,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
47887400,Amalfi,Collegiata,1456.034593,https://it.wikipedia.org/wiki/Collegiata_di_Santa_Maria_Maddalena_Penitente,http://www.openstreetmap.org/way/47887400,other,,40.65009916,14.64100452,x,x,x,x,x,x,x,x,x,x,x,x,x,,
47887400,Amalfi,Collegiata,year,,,other,,,,1274,1300,,,,,,,,,,,,,
47887400,Amalfi,Collegiata,surface,,,other,,,,0,1100,,,,,,,,,,,,,
47887400,Amalfi,Collegiata,height,,,other,,,,18,18,,,,,,,,,,,,,
47887400,Amalfi,Collegiata,m3,,,other,,,,,,,,,,,,,,,,,,
47887400,Amalfi,Collegiata,guestimate,,,other,,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
258888722,Ancona,Parrocchia di Santa Maria Liberatrice,1293.64944,https://it.wikipedia.org/wiki/Chiesa_di_Santa_Maria_Liberatrice_(Ancona),http://www.openstreetmap.org/way/258888722,parish,,43.59723754,13.49167389,x,x,x,x,x,x,x,x,x,x,x,x,x,,
258888722,Ancona,Parrocchia di Santa Maria Liberatrice,year,,,parish,,,,1300,1400,,,,,,,,,,,,,
258888722,Ancona,Parrocchia di Santa Maria Liberatrice,surface,,,parish,,,,0,900,,,,,,,,,,,,,
258888722,Ancona,Parrocchia di Santa Maria Liberatrice,height,,,parish,,,,17,17,,,,,,,,,,,,,
258888722,Ancona,Parrocchia di Santa Maria Liberatrice,m3,,,parish,,,,,,,,,,,,,,,,,,
